Index,Fields,Values
21.1.7.1,Popular_Title,Tarte Maneater Self-Sharpening Eyeliner - Black
21.1.8.1,Popular_Title,Tarte Easy On The Eyes Clay Liner
21.1.9.1,Popular_Title,Tarte Clay Pot Waterproof Shadow Liner - Rose Gold
21.1.10.1,Popular_Title,tarte Quick Stick Waterproof Shadow Liner
21.1.11.1,Popular_Title,Tarte Double Take Awake Micro Liquid Liner & Brightener
21.1.12.1,Popular_Title,tarte emphasEYES high-definition eyeliner
21.1.13.1,Popular_Title,Tarte Travel Size Sex Kitten Eyeliner
21.1.14.1,Popular_Title,Tarte Travel Size Maneater Liquid Liner
21.1.15.1,Popular_Title,Tarte Sex Kitten Eyeliner Pencil
21.1.1.2,Popular_Price,$15.00
21.1.2.2,Popular_Price,$20.00
21.1.3.2,Popular_Price,$20.00
21.1.4.2,Popular_Price,$20.00
21.1.5.2,Popular_Price,$20.00
21.1.6.2,Popular_Price,$24.00
21.1.7.2,Popular_Price,$20.00
21.1.8.2,Popular_Price,$20.00
21.1.9.2,Popular_Price,$9.99
21.1.10.2,Popular_Price,$25.00
21.1.11.2,Popular_Price,$25.00
21.1.12.2,Popular_Price,$20.00
21.1.13.2,Popular_Price,$12.00
21.1.14.2,Popular_Price,$12.00
21.1.15.2,Popular_Price,$3.50
21.1.1.3,Popular_Rating,Rated 4.4 out of 5
21.1.2.3,Popular_Rating,Rated 4.5 out of 5
21.1.3.3,Popular_Rating,Rated 4.5 out of 5
21.1.4.3,Popular_Rating,Rated 4.4 out of 5
21.1.5.3,Popular_Rating,Rated 3.9 out of 5
21.1.6.3,Popular_Rating,Rated 4.1 out of 5
21.1.7.3,Popular_Rating,Rated 4.1 out of 5
21.1.8.3,Popular_Rating,Rated 4.5 out of 5
21.1.9.3,Popular_Rating,Rated 4.3 out of 5
21.1.10.3,Popular_Rating,Rated 4.3 out of 5
21.1.11.3,Popular_Rating,Rated 4.0 out of 5
21.1.12.3,Popular_Rating,Rated 3.4 out of 5
21.1.13.3,Popular_Rating,Rated 3.5 out of 5
21.1.14.3,Popular_Rating,Rated 4.4 out of 5
21.1.15.3,Popular_Rating,Rated 4.4 out of 5
21.1.1.4,Popular_ReviewCount,4k+
21.1.2.4,Popular_ReviewCount,5k+
21.1.3.4,Popular_ReviewCount,5k+
